Rang,id,area_ha,area_km2,mean_suit,max_suit,annual_gwh,winter_gwh,gwh_per_ha,E_lv95,N_lv95
395,233,221.3,2.21,0.762,0.855,631.8,320.0,2.855,2790010,1186490
396,615,65.3,0.65,0.762,0.856,185.3,88.4,2.837,2696518,1164882
397,167,10.4,0.1,0.761,0.812,26.2,12.0,2.525,2740040,1191457
398,1118,252.4,2.52,0.761,0.856,695.8,317.5,2.757,2763839,1153381
399,598,19.1,0.19,0.761,0.826,56.3,29.2,2.952,2743823,1165745
400,915,30.3,0.3,0.761,0.842,83.5,37.1,2.755,2733370,1143129
401,173,14.0,0.14,0.761,0.809,36.7,16.8,2.623,2771313,1191049
402,302,15.7,0.16,0.761,0.799,42.9,20.5,2.735,2787425,1183465
403,124,18.9,0.19,0.761,0.803,53.5,27.4,2.823,2826577,1194732
404,139,43.6,0.44,0.761,0.829,116.5,55.7,2.671,2792960,1193383
405,111,24.9,0.25,0.761,0.825,65.5,31.9,2.634,2787895,1195441
406,1008,213.7,2.14,0.761,0.861,583.5,267.2,2.731,2808089,1129489
407,1113,124.8,1.25,0.761,0.851,347.0,159.7,2.781,2731474,1157679
408,1126,147.8,1.48,0.761,0.866,440.6,229.9,2.982,2761954,1148379
409,385,30.6,0.31,0.761,0.826,82.9,37.9,2.707,2775537,1178284
410,175,10.3,0.1,0.761,0.815,27.3,13.0,2.65,2740350,1190915
411,662,24.3,0.24,0.76,0.829,66.3,31.0,2.728,2796109,1162403
412,906,26.1,0.26,0.76,0.865,74.6,37.6,2.863,2758355,1144124
413,392,114.2,1.14,0.76,0.84,306.8,139.3,2.687,2757750,1177920
414,701,38.5,0.38,0.76,0.856,112.6,57.1,2.925,2781608,1160027
415,384,168.1,1.68,0.76,0.874,479.7,241.8,2.854,2798524,1178102
416,1051,229.1,2.29,0.76,0.853,614.5,271.0,2.682,2730977,1191748
417,817,64.1,0.64,0.76,0.827,179.7,81.5,2.805,2742318,1153880
418,141,243.8,2.44,0.76,0.845,640.6,291.0,2.627,2767033,1192521
419,861,10.2,0.1,0.76,0.833,27.5,11.7,2.685,2732390,1149483
420,270,37.2,0.37,0.76,0.817,97.9,43.1,2.633,2723061,1184971
421,978,34.0,0.34,0.76,0.848,94.7,42.7,2.785,2732420,1136438
422,565,54.9,0.55,0.759,0.855,153.6,70.5,2.799,2773483,1167208
423,414,47.4,0.47,0.759,0.825,128.2,57.2,2.702,2747366,1176843
424,641,40.4,0.4,0.759,0.875,110.4,52.4,2.733,2775426,1163432
425,884,104.1,1.04,0.759,0.868,283.9,130.9,2.728,2800343,1145805
426,263,196.6,1.97,0.759,0.855,541.8,263.6,2.755,2787425,1184415
427,200,64.8,0.65,0.759,0.856,181.2,91.9,2.796,2779867,1188970
428,845,61.4,0.61,0.759,0.84,168.0,76.4,2.735,2770665,1151176
429,869,44.7,0.45,0.759,0.821,131.0,65.9,2.932,2738333,1148031
430,876,224.0,2.24,0.759,0.85,654.8,334.3,2.923,2765774,1146760
431,1012,45.6,0.46,0.759,0.84,126.1,56.8,2.764,2725898,1129423
